adversaryId,adversaryName,attackFamily,caseKey,baselineScenario,attackedScenario,mechanismFamily,budgetUnit,budgetValue,informationLevel,metric,metricLabel,seedCount,runsPerSeed,legislators,billsPerRun,traceRowsPerSeed,evaluatedTraceRows,eventCount,mean,sampleStdDev,standardError,ci95Low,ci95High,min,q25,median,q75,max,positiveSeedShare,nonzeroSeedShare,signAgreementShare,intervalMethod,recoveryStatus,claimBoundary
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,attackSuccessRate,Attack Success Rate,30,5,101,60,600,18000,8346,0.463667,0.022052,0.004026,0.455433,0.471900,0.415000,0.451667,0.461667,0.476250,0.506667,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,enactmentLossRate,Enactment Loss Rate,30,5,101,60,600,18000,,0.122555,0.011062,0.002020,0.118425,0.126686,0.095000,0.118333,0.122500,0.129583,0.151667,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,lowSupportAddedRate,Low Support Added Rate,30,5,101,60,600,18000,,0.000389,0.000717,0.000131,0.000121,0.000657,0.000000,0.000000,0.000000,0.000000,0.001667,0.233333,0.233333,0.233333,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,meanAdminCostAdded,Mean Admin Cost Added,30,5,101,60,600,18000,,0.017127,0.013630,0.002488,0.012038,0.022215,-0.019500,0.010450,0.019916,0.026633,0.037967,0.900000,1.000000,0.900000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,meanPublicBenefitLoss,Mean public-benefit loss,30,5,101,60,600,18000,,0.010803,0.000798,0.000146,0.010505,0.011101,0.009659,0.010303,0.010767,0.011021,0.013336,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,meanPublicSupportLoss,Mean Public Support Loss,30,5,101,60,600,18000,,0.052280,0.002563,0.000468,0.051323,0.053238,0.048316,0.050766,0.051715,0.054149,0.057821,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,medianPublicBenefitLoss,Median Public Benefit Loss,30,5,101,60,600,18000,,0.005352,0.004856,0.000887,0.003539,0.007165,0.000000,0.000000,0.007500,0.010000,0.010000,0.600000,0.600000,0.600000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,medianPublicSupportLoss,Median Public Support Loss,30,5,101,60,600,18000,,0.002724,0.008574,0.001565,-0.000477,0.005926,0.000000,0.000000,0.000000,0.000000,0.041822,0.166667,0.166667,0.166667,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,worstAdminCostAdded,Worst Admin Cost Added,30,5,101,60,600,18000,,0.420000,0.325470,0.059423,0.298481,0.541519,0.260000,0.260000,0.260000,0.260000,1.060000,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
A1,Clone/decoy pressure,clone_decoy_pressure,clone-decoy-pressure,simple-majority-alternatives-pairwise,simple-majority-alternatives-a1-clone-decoy,policy_tournament_pairwise_majority,proposal_slots,1,medium,worstPublicBenefitLoss,Worst Public Benefit Loss,30,5,101,60,600,18000,,0.095531,0.001625,0.000297,0.094924,0.096138,0.090728,0.094533,0.096013,0.096638,0.097404,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,not_modeled,"A1-A8 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed first-wave attack mechanisms, budgets, information levels, institutional paths, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption. Success criteria and evaluated-row units differ by adversary, so the cross-family success total is an audit count rather than a pooled attack rate."
