packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,proxy_issues,proxy_row_count,current_proxy_status,target_issue_construct,bill_topic_survey_source,district_estimation_source,affected_population_source,affected_support_or_harm_source,required_join_keys,acquisition_status,next_action,evidence_layers,missing_links,source_url,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"tax, spending, inflation, or fiscal-policy bill support","CES/CCES economic-policy, tax, spending, inflation, or redistribution issue items","MRP over economic-policy items using income, employment, education, age, family status, and party covariates","ACS income, poverty, employment, age, household, and benefit-relevant denominators by district","taxpayer, beneficiary, worker, or household outcome/support source selected after bill-text review",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,KY-03,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"tax, spending, inflation, or fiscal-policy bill support","CES/CCES economic-policy, tax, spending, inflation, or redistribution issue items","MRP over economic-policy items using income, employment, education, age, family status, and party covariates","ACS income, poverty, employment, age, household, and benefit-relevant denominators by district","taxpayer, beneficiary, worker, or household outcome/support source selected after bill-text review",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,MN-02,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"tax, spending, inflation, or fiscal-policy bill support","CES/CCES economic-policy, tax, spending, inflation, or redistribution issue items","MRP over economic-policy items using income, employment, education, age, family status, and party covariates","ACS income, poverty, employment, age, household, and benefit-relevant denominators by district","taxpayer, beneficiary, worker, or household outcome/support source selected after bill-text review",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6833,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"defense, veterans, or national-security bill support",CES/CCES or ANES foreign-policy and defense items; veteran/military-family issue surveys where available,"MRP over survey defense/veterans items using district veteran, age, education, income, and party covariates","ACS veteran, active-duty, age, income, and household composition denominators by congressional district",veteran or military-family survey/outcome source paired with bill text before harm/support claims,bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7776,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"defense, veterans, or national-security bill support",CES/CCES or ANES foreign-policy and defense items; veteran/military-family issue surveys where available,"MRP over survey defense/veterans items using district veteran, age, education, income, and party covariates","ACS veteran, active-duty, age, income, and household composition denominators by congressional district",veteran or military-family survey/outcome source paired with bill text before harm/support claims,bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7925,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"defense, veterans, or national-security bill support",CES/CCES or ANES foreign-policy and defense items; veteran/military-family issue surveys where available,"MRP over survey defense/veterans items using district veteran, age, education, income, and party covariates","ACS veteran, active-duty, age, income, and household composition denominators by congressional district",veteran or military-family survey/outcome source paired with bill text before harm/support claims,bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6604,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"technology, communications, broadband, research, or science-policy bill support","CES/CCES technology, privacy, broadband, science, or communications policy items where wording matches bill target","MRP over technology/communications items using internet access, education, age, income, urbanicity, and party covariates","ACS internet subscription, computer access, education, income, age, and rural denominators by district","broadband-access, privacy, technology-consumer, research-workforce, or communications source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7132,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
8,8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"technology, communications, broadband, research, or science-policy bill support","CES/CCES technology, privacy, broadband, science, or communications policy items where wording matches bill target","MRP over technology/communications items using internet access, education, age, income, urbanicity, and party covariates","ACS internet subscription, computer access, education, income, age, and rural denominators by district","broadband-access, privacy, technology-consumer, research-workforce, or communications source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/4346,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
9,9,117-hr-2472,117-269,Government Operations and Politics,OH-06,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"government-operations, democracy, ethics, or institutional-reform bill support","CES/CCES government trust, election administration, democracy, or ethics items where wording matches bill target","MRP over trust/democracy/election items using education, age, race, income, turnout, and party covariates","ACS voting-age, citizenship, language, disability, and access-relevant denominators by district","election-administration, civic-access, or administrative-burden source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/2472,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
10,10,117-hr-7352,117-166,Commerce,NY-07,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"commerce, consumer, or business-regulation bill support",CES/CCES economic-regulation items; consumer or business policy surveys where bill-topic wording exists,"MRP over commerce/economic-regulation items using employment, industry, income, education, and party covariates","ACS employment, industry, occupation, income, and small-business-relevant denominators by district","consumer, worker, or industry-specific support/harm source selected from bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7352,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
