public_law_number,bill_id,congress,bill_type,bill_number,linkage_status,candidate_rule_count,matched_rule_count,text_verified_rule_count,matched_document_numbers,matched_publication_dates,matched_rule_titles,federal_register_citations,agency_names,cfr_references,regulation_id_numbers,docket_ids,public_law_citations,usc_citations,authority_excerpt,source_urls,raw_text_urls,evidence_layers,missing_links,claim_boundary
117-111,117-s-3294,117,s,3294,no_federal_register_authority_match,4,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-113,117-hr-5681,117,hr,5681,no_federal_register_authority_match,6,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-114,117-hr-3113,117,hr,3113,no_federal_register_authority_match,6,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-115,117-s-233,117,s,233,no_federal_register_authority_match,6,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-118,117-s-3522,117,s,3522,no_federal_register_authority_match,6,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-121,117-s-497,117,s,497,no_federal_register_authority_match,5,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-123,117-s-270,117,s,270,no_federal_register_authority_match,6,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-136,117-s-2687,117,s,2687,no_federal_register_authority_match,4,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-146,117-s-3580,117,s,3580,federal_register_authority_match,6,3,3,2024-02926; 2023-05393; 2024-16148,2023-03-20; 2024-02-26; 2024-07-23,Demurrage and Detention Billing Requirements; Civil Penalty Amendments to Rules of Practice and Procedure; Definition of Unreasonable Refusal To Deal or Negotiate With Respect to Vessel Space Accommodations Provided by an Ocean Common Carrier,88 FR 16573; 89 FR 14330; 89 FR 59648,Federal Maritime Commission,46 CFR 502; 46 CFR 541; 46 CFR 542,3072-AC90; 3072-AC92; 3072-AC95,Docket No. FMC-2022-0066; Docket No. FMC-2023-0008; Docket No. FMC-2023-0010,117-146; 89-777,18 U.S.C. 207; 28 U.S.C. 2112(a; 31 U.S.C. 9701; 42 U.S.C. 4321-4347; 44 U.S.C. 3501-3520; 44 U.S.C. 3501-3521; 44 U.S.C. 3502(3; 44 U.S.C. 3507; 44 U.S.C. 3507(d; 44 U.S.C. 3508; 46 U.S.C 41104(a)(3; 46 U.S.C. 305; 46 U.S.C. 40101; 46 U.S.C. 40101(1; 46 U.S.C. 40101(2; 46 U.S.C. 40101(4; 46 U.S.C. 40101-41310; 46 U.S.C. 40102; 46 U.S.C. 40102(15; 46 U.S.C. 40102(18; 46 U.S.C. 40102(21; 46 U.S.C. 40102(7; 46 U.S.C. 40103; 46 U.S.C. 40103(a; 46 U.S.C. 40104; 46 U.S.C. 40104(a)(1; 46 U.S.C. 40104(a)(3; 46 U.S.C. 40306; 46 U.S.C. 40501(f; 46 U.S.C. 40502(f; 46 U.S.C. 40503; 46 U.S.C. 40901-40904; 46 U.S.C. 41102; 46 U.S.C. 41102(a; 46 U.S.C. 41102(c; 46 U.S.C. 41102(d; 46 U.S.C. 41104; 46 U.S.C. 41104(a; 46 U.S.C. 41104(a)(10; 46 U.S.C. 41104(a)(15,"invoice: --------------------------------------------------------------------------- \18\ Public Law 117-146, 136 Stat. 1272 (2022). \19\ Public Law 117-146 at Sec. 7(a)(1), 136 Stat. at 1274 (codified at 46 U.S.C. 41104(a)(15)). --------------------------------------------------------------------------- <bullet> date that con",https://www.federalregister.gov/documents/2023/03/20/2023-05393/civil-penalty-amendments-to-rules-of-practice-and-procedure; https://www.federalregister.gov/documents/2024/02/26/2024-02926/demurrage-and-detention-billing-requirements; https://www.federalregister.gov/documents/2024/07/23/2024-16148/definition-of-unreasonable-refusal-to-deal-or-negotiate-with-respect-to-vessel-space-accommodations,https://www.federalregister.gov/documents/full_text/text/2023/03/20/2023-05393.txt; https://www.federalregister.gov/documents/full_text/text/2024/02/26/2024-02926.txt; https://www.federalregister.gov/documents/full_text/text/2024/07/23/2024-16148.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-150,117-s-2520,117,s,2520,no_federal_register_authority_match,5,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-158,117-s-2089,117,s,2089,no_federal_register_authority_match,2,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-163,117-hr-1842,117,hr,1842,no_federal_register_authority_match,1,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-164,117-hr-3359,117,hr,3359,no_federal_register_authority_match,0,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-165,117-hr-7334,117,hr,7334,no_federal_register_authority_match,0,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-166,117-hr-7352,117,hr,7352,federal_register_authority_match,1,1,1,2024-18083,2024-08-23,Business Loan Program Temporary Changes; Paycheck Protection Program-Extension of Lender Records Retention Requirements,89 FR 68090,Small Business Administration,13 CFR 120,3245-AI17,Docket Number SBA-2024-0006,116-136; 116-139; 116-142; 116-147; 116-260; 117-166; 117-2; 117-6,15 U.S.C. 636(a)(36; 15 U.S.C. 636(a)(36)(F)(ii)(I; 15 U.S.C. 636(a)(37; 15 U.S.C. 636m; 44 U.S.C. Ch; 44 U.S.C. Chapter; 5 U.S.C. 553(b)(B; 5 U.S.C. 553(d)(3; 5 U.S.C. 601-612; 5 U.S.C. 603; 5 U.S.C. 801; 5 U.S.C. 804(2,", Pub. L. 116-260, section 303; PPP and Bank Fraud Enforcement Harmonization Act of 2022, Pub. L. 117-166. Isabella Casillas Guzman, Administrator. [FR Doc. 2024-18083 Filed 8-22-24; 8:45 am] BILLING CODE 8026-09-P </pre><script data-cfasync=""false"" src=""/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js""></scr",https://www.federalregister.gov/documents/2024/08/23/2024-18083/business-loan-program-temporary-changes-paycheck-protection-program-extension-of-lender-records,https://www.federalregister.gov/documents/full_text/text/2024/08/23/2024-18083.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-167,117-hr-4346,117,hr,4346,federal_register_authority_match,6,6,6,2026-03307; 2024-25810; 2023-09999; 2024-23857; 2023-16009; 2024-30030,2023-05-11; 2023-08-01; 2024-10-23; 2024-11-25; 2024-12-19; 2026-02-19,"Eliminating Obsolete Marking Requirements for Toy, Look-Alike, and Imitation Firearms; Final Scientific Integrity Policy; Marking of Toy, Look-Alike, and Imitation Firearms; Advanced Manufacturing Investment Credit Rules Under Sections 48D and 50; NSF Federal Cyber Scholarship-for-Service Program (CyberCorps® SFS)",88 FR 30226; 88 FR 50044; 89 FR 103677; 89 FR 84732; 89 FR 92830; 91 FR 7824,Commerce Department; National Institute of Standards and Technology; Consumer Product Safety Commission; Health and Human Services Department; National Science Foundation; Transportation Department; Federal Railroad Administration; Treasury Department; Internal Revenue Service,15 CFR 272; 16 CFR 1272; 26 CFR 1; 42 CFR 93; 45 CFR 46; 45 CFR 73; 45 CFR 620; 49 CFR 215,0693-AB73; 1545-BQ54; 2130-AC94; 3145-AA64,"Docket No. 260210-0043; Docket No. CPSC-2023-0021; Docket No. FRA-2023-0021, Notice No. 2; TD 10009",100-342; 101-12; 101-508; 103-424; 104-4; 106-55; 106-554; 109-59; 111-358; 112-199; 113-274; 115-435; 117-167; 117-328; 117-58; 89-670,10 U.S.C. 101(d)(5; 10 U.S.C. 10101; 10 U.S.C. 1034; 10 U.S.C. part; 15 U.S.C. 2063(a)(1; 15 U.S.C. 2063(a)(3)(B)(vi; 15 U.S.C. 277; 15 U.S.C. 4651; 15 U.S.C. 4652; 15 U.S.C. 4652(a)(6)(A)(ii; 15 U.S.C. 4652(a)(6)(C; 15 U.S.C. 4652(a)(6)(C)(i; 15 U.S.C. 4652(a)(6)(C)(iii; 15 U.S.C. 4772(l; 15 U.S.C. 5001; 15 U.S.C. 5001(g; 15 U.S.C. 7442; 15 U.S.C. 7442(a; 15 U.S.C. 7442(b)(3; 15 U.S.C. 7442(b)(3)(B; 15 U.S.C. 7442(d; 15 U.S.C. 7442(g; 15 U.S.C. 7442(g)(1; 15 U.S.C. 7442(g)(2; 15 U.S.C. 7442(i; 15 U.S.C. 7442(k; 16 U.S.C. 470; 18 U.S.C. 201-209--Statutes; 18 U.S.C. 208; 19 U.S.C. 1337; 19 U.S.C. 1677(18; 19 U.S.C. 2242; 19 U.S.C. 2242(g)(3; 19 U.S.C. 2416; 19 U.S.C. 4502; 2 U.S.C. 1531; 2 U.S.C. 1531-1538; 2 U.S.C. 1532; 20 U.S.C. 1078e; 20 U.S.C. 1087a," 4 was amended to replace the Department (and NIST) with CPSC as the relevant agency. See Public Law 117-167, 136 Stat. 1366, 1492. CPSC has since promulgated the new, operative marking requirements for toy, look-alike, and imitation firearms at 16 CFR part 1272. In sum, NIST's regulation at 15 CFR part 272 is now no longer au",https://www.federalregister.gov/documents/2023/05/11/2023-09999/marking-of-toy-look-alike-and-imitation-firearms; https://www.federalregister.gov/documents/2023/08/01/2023-16009/nsf-federal-cyber-scholarship-for-service-program-cybercorps-sfs; https://www.federalregister.gov/documents/2024/10/23/2024-23857/advanced-manufacturing-investment-credit-rules-under-sections-48d-and-50; https://www.federalregister.gov/documents/2024/11/25/2024-25810/final-scientific-integrity-policy; https://www.federalregister.gov/documents/2024/12/19/2024-30030/freight-car-safety-standards-implementing-the-infrastructure-investment-and-jobs-act; https://www.federalregister.gov/documents/2026/02/19/2026-03307/eliminating-obsolete-marking-requirements-for-toy-look-alike-and-imitation-firearms,https://www.federalregister.gov/documents/full_text/text/2023/05/11/2023-09999.txt; https://www.federalregister.gov/documents/full_text/text/2023/08/01/2023-16009.txt; https://www.federalregister.gov/documents/full_text/text/2024/10/23/2024-23857.txt; https://www.federalregister.gov/documents/full_text/text/2024/11/25/2024-25810.txt; https://www.federalregister.gov/documents/full_text/text/2024/12/19/2024-30030.txt; https://www.federalregister.gov/documents/full_text/text/2026/02/19/2026-03307.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
