packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,primary_survey_source_family,current_proxy_source_family,current_proxy_dataset_doi,current_proxy_dataset_version,current_proxy_distribution_date,current_proxy_survey_year,current_proxy_variable_ids,current_proxy_signal_names,current_proxy_review_status,bill_topic_candidate_constructs,acquired_bill_topic_item_ids,acquired_bill_topic_item_years,bill_topic_item_review_status,district_estimation_status,affected_group_item_status,required_next_action,evidence_layers,missing_links,source_urls,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,taxes; spending; inflation; redistribution; budget priorities; household affordability,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,KY-03,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,taxes; spending; inflation; redistribution; budget priorities; household affordability,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,MN-02,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,taxes; spending; inflation; redistribution; budget priorities; household affordability,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,"defense, veterans, or national-security bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,defense spending; veterans benefits; military family support; national-security threat response,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,"defense, veterans, or national-security bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,defense spending; veterans benefits; military family support; national-security threat response,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,"defense, veterans, or national-security bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,defense spending; veterans benefits; military family support; national-security threat response,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,"technology, communications, broadband, research, or science-policy bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,broadband; privacy; communications access; science funding; technology regulation,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
8,8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,"technology, communications, broadband, research, or science-policy bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,broadband; privacy; communications access; science funding; technology regulation,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
9,9,117-hr-2472,117-269,Government Operations and Politics,OH-06,"government-operations, democracy, ethics, or institutional-reform bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,trust in government; election administration; democracy protection; ethics reform; civic access,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
10,10,117-hr-7352,117-166,Commerce,NY-07,"commerce, consumer, or business-regulation bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,consumer protection; business regulation; supply-chain policy; competition or market oversight,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
