lobbying_issue,topic,linkage_status,lobbying_rows,unique_clients,unique_filings,total_amount,topic_introduced,topic_floor_considered,topic_enacted,evidence_layers,missing_links,crosswalk_basis,source_url,claim_boundary
Aerospace,Armed Forces and National Security,issue_topic_crosswalk,1,1,1,0.00,9,1,1,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Agriculture,Agriculture and Food,issue_topic_crosswalk,5,5,5,0.00,3,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Automotive Industry,Commerce,issue_topic_crosswalk,2,2,2,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Aviation/Airlines/Airports,Transportation and Public Works,issue_topic_crosswalk,1,1,1,0.00,1,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Banking,Finance and Financial Sector,issue_topic_crosswalk,1,1,1,0.00,4,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Beverage Industry,Commerce,issue_topic_crosswalk,1,1,1,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Budget/Appropriations,Economics and Public Finance,issue_topic_crosswalk,22,21,22,0.00,2,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Chemicals/Chemical Industry,Commerce,issue_topic_crosswalk,2,2,2,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Clean Air and Water (quality),Environmental Protection,issue_topic_crosswalk,1,1,1,0.00,4,3,1,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Computer Industry,"Science, Technology, Communications",issue_topic_crosswalk,1,1,1,0.00,4,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Consumer Issues/Safety/Products,Commerce,issue_topic_crosswalk,3,3,3,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Defense,Armed Forces and National Security,issue_topic_crosswalk,10,10,10,0.00,9,1,1,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Disaster Planning/Emergencies,Emergency Management,issue_topic_crosswalk,1,1,1,0.00,1,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
