key,dataset,quantity,scenarioKey,metric,minimum,maximum,observed,passed,source,notes
current-congress-committee-advance-rate,GovInfo 117th-Congress H.R. and S. bill census,share of introduced bills ordered reported reported or discharged,current-congress-workflow,committeeAdvanceRate,0.079,0.120,0.108,true,GovInfo BILLSTATUS 117th-Congress H.R. and S. census,Range centered on the deterministic calibration split with a 0.020 abstraction tolerance; held-out rows were not used to select the threshold
current-congress-floor-consideration-rate,GovInfo 117th-Congress H.R. and S. bill census,share of introduced bills receiving substantive floor consideration,current-congress-workflow,floor,0.050,0.081,0.060,true,GovInfo BILLSTATUS 117th-Congress H.R. and S. census,Range centered on the deterministic calibration split with a 0.015 abstraction tolerance; held-out rows were not used to select the threshold
current-congress-enactment-rate,GovInfo 117th-Congress H.R. and S. bill census,share of introduced bills enacted,current-congress-workflow,productivity,0.012,0.033,0.025,true,GovInfo BILLSTATUS 117th-Congress H.R. and S. census,Range centered on the deterministic calibration split with a 0.010 abstraction tolerance; held-out rows were not used to select the threshold
party-unity-support-band,Voteview roll-call votes,ordinary enacted-bill coalition support range under a polarized Congress,current-system,averageEnactedSupport,0.560,0.780,0.668,true,Voteview roll-call and party-unity data,Screens winning coalition size against the committed Voteview roll-call sample
veto-frequency-band,Congress.gov veto actions and CRS presidential veto summaries,vetoes per simulated run under bicameral presidential-veto baseline,presidential-veto,vetoesPerRun,0.000,8.000,2.600,true,Congress.gov action histories and CRS presidential veto summaries,Loose range because run length is abstract
sponsor-success-concentration,Center for Effective Lawmaking and Congress.gov sponsor samples,concentration in member-level legislative advancement and sponsor proposal access,current-system,proposerAccessGini,0.050,0.550,0.137,true,Center for Effective Lawmaking and Congress.gov sponsor samples,Screens whether proposer access is neither perfectly equal nor fully concentrated
lobbying-spend-observable,U.S. Senate Lobbying Disclosure Act data,organized-interest spending should be visible in explicit lobbying scenarios,default-pass-budgeted-lobbying,lobbySpendPerBill,0.010,1.500,0.092,true,U.S. Senate Lobbying Disclosure Act filings,Abstract budget-unit observability check rather than dollar calibration
topic-throughput-yield,Comparative Agendas Project,policy-topic throughput should not collapse to zero in conventional baselines,simple-majority,welfarePerSubmittedBill,0.050,0.450,0.145,true,Comparative Agendas Project topic coding,Coarse screen for generated issue-domain throughput before topic-specific calibration
district-public-will-alignment,Cumulative CES Common Content district aggregates,district support and turnout signals should be visible in public-will scenarios,district-population-majority,districtAlignment,0.200,0.800,0.394,true,CES district-level survey aggregates,Abstract public-will alignment screen using district proxy data not bill-specific support validation
district-turnout-skew-proxy,Cumulative CES Common Content district aggregates,turnout skew should stay finite in district public-will scenarios,district-population-majority,turnoutSkewIndex,0.000,0.400,0.254,true,CES district-level survey aggregates,Coarse turnout-skew screen using district proxy data not a voter-file validation
campaign-finance-observable-band,OpenFEC campaign-finance extracts,campaign-finance pressure should be visible in influence-system scenarios,influence-system-majority,campaignFinanceCaptureIndex,0.000,1.000,0.144,true,OpenFEC Schedule A and Schedule E bounded extracts,Unit-scale observability band for campaign-finance influence metrics not causal capture calibration
judicial-review-constraint,Supreme Court Database merits cases,constitutional invalidation should stay within a broad merits-case plausibility band,constitutional-court-architecture-majority,constitutionalInvalidationRate,0.000,0.200,0.000,true,Supreme Court Database case-centered release,Broad upper-bound screen for merits-case invalidation not emergency-order validation
implementation-delay-proxy,Federal Register final-rule effective-date sample,implementation-delay proxy should remain finite and nonnegative,law-registry-majority,implementationDelay,0.000,100.000,0.505,true,Federal Register final-rule publication and effective-date extract,Abstract delay screen linked to final-to-effective-date rows not full administrative implementation validation
implementation-capacity-proxy,Federal Register final-rule effective-date sample,implementation-capacity proxy should remain on the unit scale,law-registry-majority,implementationCapacity,0.000,1.000,0.174,true,Federal Register final-rule publication and effective-date extract,Abstract capacity screen derived from effective-date speed not enforcement validation
law-revision-correction-proxy,Congress.gov public-law text flags,post-enactment correction or revision should be represented in law-registry scenarios,law-registry-majority,reversalRate,0.000,0.800,0.469,true,Congress.gov public-law title and summary flags,Broad correction-rate proxy for amendment repeal reauthorization and sunset language not statutory-lineage validation
bicameral-veto-burden,QoG and V-Dem comparative institutional profiles,bicameral conflict should be visible in bicameral scenarios,bicameral-majority,interChamberConflictRate,0.050,0.600,0.148,true,QoG DES POLCON and OWID V-Dem selected profiles,Coarse bicameral-burden screen not cross-national productivity validation
